2020-05-01 23:37:24.7529|ERROR|MailSender|System.Net.Mail.SmtpException: The SMTP server requires a secure connection or the client was not authenticated. The server response was: 5.7.0 Authentication Required. Learn more at
   at System.Net.Mail.MailCommand.CheckResponse(SmtpStatusCode statusCode, String response)
   at System.Net.Mail.MailCommand.Send(SmtpConnection conn, Byte[] command, MailAddress from, Boolean allowUnicode)
   at System.Net.Mail.SmtpTransport.SendMail(MailAddress sender, MailAddressCollection recipients, String deliveryNotify, Boolean allowUnicode, SmtpFailedRecipientException& exception)
   at System.Net.Mail.SmtpClient.Send(MailMessage message)
   at MailSender.SendMail(String subject, String body, String[] toMails) in G:\project\My\LearnBug\Services\MailSender.cs:line 36
2020-05-01 23:39:54.6319|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:39:59.6895|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:39:59.7065|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:40:01.7160|DEBUG|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:14864:7191bb6d heartbeat successfully sent
2020-05-01 23:40:01.7310|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:14864:7191bb6d waiting for 00:00:30 delay before sending a heartbeat
2020-05-01 23:40:04.7321|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:40:04.7352|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:02.5307|INFO|Hangfire.SqlServer.SqlServerObjectsInstaller|Start installing Hangfire SQL objects...
2020-05-01 23:41:03.0798|INFO|Hangfire.SqlServer.SqlServerObjectsInstaller|Hangfire SQL objects installed.
2020-05-01 23:41:03.1908|INFO|Hangfire.BackgroundJobServer|Starting Hangfire Server using job storage: 'SQL Server: .@learnbugdb'
2020-05-01 23:41:03.2076|INFO|Hangfire.BackgroundJobServer|Using the following options for SQL Server job storage: Queue poll interval: 00:00:15.
2020-05-01 23:41:03.2227|INFO|Hangfire.BackgroundJobServer|Using the following options for Hangfire Server:
    Worker count: 20
    Listening queues: 'default'
    Shutdown timeout: 00:00:15
    Schedule polling interval: 00:00:15
2020-05-01 23:41:03.3076|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop BackgroundServerProcess:f5696b66 has started in 33.3911 ms
2020-05-01 23:41:03.3736|TRACE|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:11880:570d613a is announcing itself...
2020-05-01 23:41:03.8467|INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:11880:570d613a successfully announced in 440.0535 ms
2020-05-01 23:41:03.8917|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerHeartbeatProcess:027b591e has started in 13.8982 ms
2020-05-01 23:41:03.8917|INFO|Hangfire.Server.BackgroundServerProcess|Server desktop-gnrm4ms:11880:570d613a is starting the registered dispatchers: ServerWatchdog, ServerJobCancellationWatcher, ExpirationManager, CountersAggregator, Worker, DelayedJobScheduler, RecurringJobScheduler...
2020-05-01 23:41:03.9238|TRACE|Hangfire.Server.ServerHeartbeatProcess|Server desktop-gnrm4ms:11880:570d613a waiting for 00:00:30 delay before sending a heartbeat
2020-05-01 23:41:04.0148|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerWatchdog:4c1f410e has started in 26.3094 ms
2020-05-01 23:41:04.0658|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ServerJobCancellationWatcher:bf01e604 has started in 63.5101 ms
2020-05-01 23:41:04.1038|TRACE|Hangfire.Server.ServerJobCancellationWatcher|Checking for aborted jobs...
2020-05-01 23:41:04.1038|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop ExpirationManager:bc641af2 has started in 51.4971 ms
2020-05-01 23:41:04.1198|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop CountersAggregator:751b07da has started in 13.7256 ms
2020-05-01 23:41:04.1908|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:c0f913dc has started in 70.5208 ms
2020-05-01 23:41:04.1328|TRACE|Hangfire.Server.ServerJobCancellationWatcher|No newly aborted jobs found.
2020-05-01 23:41:04.1428|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f8f1ebe9 has started in 22.0679 ms
2020-05-01 23:41:04.1778|DEBUG|Hangfire.SqlServer.ExpirationManager|Removing outdated records from the 'AggregatedCounter' table...
2020-05-01 23:41:04.2078|DEBUG|Hangfire.SqlServer.CountersAggregator|Aggregating records in 'Counter' table...
2020-05-01 23:41:04.1428|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:b746fe96 has started in 29.705 ms
2020-05-01 23:41:04.2078|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:8ca26edc has started in 87.2533 ms
2020-05-01 23:41:04.2499|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:4c49ef02 has started in 128.8324 ms
2020-05-01 23:41:04.2599|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:2750d8e8 has started in 139.1885 ms
2020-05-01 23:41:04.2728|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:98f5e1c8 has started in 151.7441 ms
2020-05-01 23:41:04.2918|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:f4ffd8cb has started in 170.9772 ms
2020-05-01 23:41:04.3008|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e9a6197f has started in 179.6892 ms
2020-05-01 23:41:04.3148|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:e7150ebf has started in 193.9032 ms
2020-05-01 23:41:04.3148|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:1445b45d has started in 201.4633 ms
2020-05-01 23:41:04.3679|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:6e6cab9c has started in 246.8715 ms
2020-05-01 23:41:04.4309|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:33ccc7c1 has started in 310.4978 ms
2020-05-01 23:41:04.4539|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:14ffc2f7 has started in 333.7563 ms
2020-05-01 23:41:04.5449|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:92d4a04a has started in 424.2895 ms
2020-05-01 23:41:04.6570|DEBUG|Hangfire.Processing.BackgroundExecution|Execution loop Worker:de6696a9 has started in 535.3421 ms
